,lat,lon,satelite,data
0,-11.8769,-40.941101,METOP-B,2024-12-05 23:39:00
1,-10.4526,-37.192799,METOP-B,2024-12-05 23:39:00
2,-10.4542,-37.2005,METOP-B,2024-12-05 23:39:00
3,-9.8291,-37.064602,METOP-B,2024-12-05 23:39:00
4,-13.2229,-43.934101,METOP-B,2024-12-05 23:39:00
5,-13.2132,-43.935902,METOP-B,2024-12-05 23:39:00
6,-10.7469,-37.177299,METOP-B,2024-12-05 23:39:00
7,-10.7486,-37.185101,METOP-B,2024-12-05 23:39:00
8,-10.5842,-36.757099,METOP-B,2024-12-05 23:39:00
9,-10.5859,-36.764599,METOP-B,2024-12-05 23:39:00
10,-10.5875,-36.772099,METOP-B,2024-12-05 23:39:00
11,-10.5517,-36.701599,METOP-B,2024-12-05 23:39:00
12,-10.5763,-37.0527,METOP-B,2024-12-05 23:39:00
13,-10.5779,-37.060398,METOP-B,2024-12-05 23:39:00
14,-10.2121,-36.651901,METOP-B,2024-12-05 23:39:00
15,-10.2137,-36.659302,METOP-B,2024-12-05 23:39:00
16,-10.0393,-36.5667,METOP-B,2024-12-05 23:39:00
17,-9.6962,-35.847698,METOP-B,2024-12-05 23:39:00
18,-9.6978,-35.854698,METOP-B,2024-12-05 23:39:00
19,-9.6993,-35.861698,METOP-B,2024-12-05 23:39:00
20,-9.8308,-37.072201,METOP-B,2024-12-05 23:39:00
21,-9.3282,-35.951801,METOP-B,2024-12-05 23:39:00
22,-9.3297,-35.958801,METOP-B,2024-12-05 23:39:00
23,-8.9859,-36.079498,METOP-B,2024-12-05 23:39:00
24,-8.9875,-36.086498,METOP-B,2024-12-05 23:39:00
25,9.6282,-63.5544,GOES-16,2024-12-06 00:30:00
26,-16.1006,-60.4523,GOES-16,2024-12-06 00:30:00
27,-20.7924,-60.2463,GOES-16,2024-12-06 00:30:00
28,-20.8127,-60.2439,GOES-16,2024-12-06 00:30:00
29,-22.0384,-62.5641,GOES-16,2024-12-06 00:30:00
30,-22.0589,-62.5619,GOES-16,2024-12-06 00:30:00
31,-22.0592,-62.5415,GOES-16,2024-12-06 00:30:00
32,-23.3784,-57.9862,GOES-16,2024-12-06 00:30:00
33,-23.3993,-57.9829,GOES-16,2024-12-06 00:30:00
34,-23.7913,-59.2425,GOES-16,2024-12-06 00:30:00
35,-25.6593,-61.0345,GOES-16,2024-12-06 00:30:00
